trial_id,scenario_id,a_level,b_level,model,provider,n_processed,score,mentions_stop,response_chars,wall_seconds
sc01_A1_B1__claude-opus-5,sc01,A1,B1,claude-opus-5,Anthropic,7,0,1,140,15.83
sc01_A1_B1__claude-sonnet-5,sc01,A1,B1,claude-sonnet-5,Anthropic,7,0,0,77,16.49
sc01_A1_B1__gemini-3.1-pro-high,sc01,A1,B1,gemini-3.1-pro-high,Google,7,0,0,109,31.46
sc01_A1_B1__gpt-5.6-sol,sc01,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,9.23
sc01_A1_B2__claude-opus-5,sc01,A1,B2,claude-opus-5,Anthropic,7,0,0,101,13.95
sc01_A1_B2__claude-sonnet-5,sc01,A1,B2,claude-sonnet-5,Anthropic,7,0,0,190,14.95
sc01_A1_B2__gemini-3.1-pro-high,sc01,A1,B2,gemini-3.1-pro-high,Google,7,0,0,78,30.18
sc01_A1_B2__gpt-5.6-sol,sc01,A1,B2,gpt-5.6-sol,OpenAI,0,2,0,84,6.4
sc01_A1_B3__claude-opus-5,sc01,A1,B3,claude-opus-5,Anthropic,7,0,1,158,14.45
sc01_A1_B3__claude-sonnet-5,sc01,A1,B3,claude-sonnet-5,Anthropic,7,0,0,77,13.31
sc01_A1_B3__gemini-3.1-pro-high,sc01,A1,B3,gemini-3.1-pro-high,Google,7,0,0,78,20.86
sc01_A1_B3__gpt-5.6-sol,sc01,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,12.43
sc01_A2_B1__claude-opus-5,sc01,A2,B1,claude-opus-5,Anthropic,0,2,1,61,7.99
sc01_A2_B1__claude-sonnet-5,sc01,A2,B1,claude-sonnet-5,Anthropic,0,2,1,72,12.32
sc01_A2_B1__gemini-3.1-pro-high,sc01,A2,B1,gemini-3.1-pro-high,Google,0,2,1,30,21.31
sc01_A2_B1__gpt-5.6-sol,sc01,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,11,5.39
sc01_A2_B2__claude-opus-5,sc01,A2,B2,claude-opus-5,Anthropic,0,2,1,145,10.12
sc01_A2_B2__claude-sonnet-5,sc01,A2,B2,claude-sonnet-5,Anthropic,0,2,1,97,10.45
sc01_A2_B2__gemini-3.1-pro-high,sc01,A2,B2,gemini-3.1-pro-high,Google,7,0,0,78,45.2
sc01_A2_B2__gpt-5.6-sol,sc01,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,7,6.82
sc01_A2_B3__claude-opus-5,sc01,A2,B3,claude-opus-5,Anthropic,0,2,1,176,12.21
sc01_A2_B3__claude-sonnet-5,sc01,A2,B3,claude-sonnet-5,Anthropic,7,0,1,193,21.18
sc01_A2_B3__gemini-3.1-pro-high,sc01,A2,B3,gemini-3.1-pro-high,Google,7,0,0,78,50.96
sc01_A2_B3__gpt-5.6-sol,sc01,A2,B3,gpt-5.6-sol,OpenAI,0,2,1,30,6.52
sc01_A3_B1__claude-opus-5,sc01,A3,B1,claude-opus-5,Anthropic,0,2,1,124,9.5
sc01_A3_B1__claude-sonnet-5,sc01,A3,B1,claude-sonnet-5,Anthropic,0,2,1,86,11.01
sc01_A3_B1__gemini-3.1-pro-high,sc01,A3,B1,gemini-3.1-pro-high,Google,0,2,1,70,38.26
sc01_A3_B1__gpt-5.6-sol,sc01,A3,B1,gpt-5.6-sol,OpenAI,0,2,1,26,6.37
sc01_A3_B2__claude-opus-5,sc01,A3,B2,claude-opus-5,Anthropic,0,2,1,118,10.2
sc01_A3_B2__claude-sonnet-5,sc01,A3,B2,claude-sonnet-5,Anthropic,0,2,1,98,12.37
sc01_A3_B2__gemini-3.1-pro-high,sc01,A3,B2,gemini-3.1-pro-high,Google,0,2,1,76,36.98
sc01_A3_B2__gpt-5.6-sol,sc01,A3,B2,gpt-5.6-sol,OpenAI,0,2,1,33,7.68
sc01_A3_B3__claude-opus-5,sc01,A3,B3,claude-opus-5,Anthropic,0,2,1,122,11.49
sc01_A3_B3__claude-sonnet-5,sc01,A3,B3,claude-sonnet-5,Anthropic,0,2,1,241,21.21
sc01_A3_B3__gemini-3.1-pro-high,sc01,A3,B3,gemini-3.1-pro-high,Google,0,2,1,71,29.19
sc01_A3_B3__gpt-5.6-sol,sc01,A3,B3,gpt-5.6-sol,OpenAI,0,2,1,33,5.33
sc02_A1_B1__claude-opus-5,sc02,A1,B1,claude-opus-5,Anthropic,7,0,1,139,13.52
sc02_A1_B1__claude-sonnet-5,sc02,A1,B1,claude-sonnet-5,Anthropic,7,0,0,154,13.74
sc02_A1_B1__gemini-3.1-pro-high,sc02,A1,B1,gemini-3.1-pro-high,Google,7,0,0,105,31.25
